text,date,amusement_parks,ferris_wheels,water_parks,miniature_parks,baths_and_saunas,climbing,stadiums,winter_sports,natural_springs,water,nature_reserves,beaches,railway_stations,dams,mints,mineshafts,science_museums,churches,cathedrals,monasteries,synagogues,hindu_temples,mosques,archaeology,castles,fortified_towers,bunkers,military_museums,battlefields,war_graves,cemeteries,mausoleums,crypts,monuments,tumuluses,wall_painting,fountains,sculptures,gardens_and_parks,archaeological_museums,art_galleries,biographical_museums,history_museums,local_museums,national_museums,fashion_museums,planetariums,zoos,aquariums,skyscrapers,towers,historic_architecture,bridges,text_en
"Często odwiedzam muzea, teatry i lokalne wystawy sztuki, jednocześnie badając bogatą historię odwiedzanych miejsc.Bycie miłośnikiem kultury i sztuki napełnia mnie moją ciekawością.","Planuję średnią długość wycieczki trwającą około 7 dni, która rozpocznie się za trzy miesiące.",2,4,3,2,1,2,3,1,4,3,3,2,3,2,2,2,4,3,4,2,2,1,1,3,4,3,1,2,1,2,3,2,1,4,1,3,3,3,4,3,4,3,3,3,4,2,2,3,2,3,4,3,3,"I am an enthusiast of culture and art.I most often spend my free time in museums, theaters and exploring the local artistic scene.I am also interested in the history of the places I visit."
Jestem miłośnikiem kultury i historii. Jestem zainteresowany dania kuchni teatralnej i lokalnej.. Preferuję spokojne miejsca nad rzeką,Moja wycieczka odbędzie się od 15 sierpnia do 30 sierpnia 2023 roku.,2,3,2,2,2,1,3,1,3,4,3,2,4,3,2,3,4,5,4,3,3,1,1,4,5,4,2,4,3,3,3,4,3,4,2,3,4,4,5,4,5,3,5,4,5,3,2,3,3,4,5,5,4,I am a lover of culture and history.I am interested in theater and local cuisine.I prefer peaceful places on the river.
"Jestem entuzjastą sztuki współczesnej i uwielbiam przestrzegać najnowszych trendów w świecie artystycznym. Moje hobby odwiedza galerie sztuki współczesnej, uczestnictwo w wystawach artystycznych i spotkaniach oraz zbieranie dzieł współczesnych artystów. Wolę spędzać wolny czasMiejsca, w których mogę doświadczyć innowacyjnych form ekspresji artystycznej.","Planuję swoją wycieczkę na czerwiec. Będzie trwała 8 dni, od 10 czerwca do 17 czerwca.",1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,5,1,2,1,2,1,1,1,1,1,2,2,1,"I am an enthusiast of contemporary art and I love to follow the latest trends in the artistic world.My hobby is visiting modern art galleries, participation in artistic exhibitions and meetings, and collecting works of contemporary artists.I prefer to spend my free time in places where I can experience innovative forms of artistic expression."
".Jestem turystą, który uwielbia odkrywać podwodny świat i odkrywać niezbadane obszary.Lubię pływać, nurkować i nurkować, aby dzielić się pięknem życia morskiego","Planuję swoją wycieczkę na wrzesień. Będzie trwała 8 dni, od 5 września do 12 września.",1,1,2,1,1,1,1,1,1,4,5,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,3,1,1,1,1,1,1,1,1,4,1,3,2,1,"I am a tourist who loves wild nature and underwater diving.My hobby is discovering underwater ecosystems and observing the diversity of marine life.I spend my free time under water, exploring mysterious reefs and the depths of the ocean."
"Moja pasja polega na odkrywaniu sztuki i kultury, spędzaniu czasu na odwiedzaniu muzeów, galerii i teatrów, a także wchłanianie lokalnej kuchni i historii sztuki.","Planuję krótką wycieczkę trwającą kilka dni, która rozpocznie się za miesiąc.",2,3,1,2,2,1,2,1,3,3,2,1,3,2,1,1,4,5,4,3,3,1,1,3,2,2,1,2,1,2,2,2,1,3,1,2,3,4,3,4,5,3,4,3,4,5,1,2,1,2,4,4,3,"I am passionate about art and culture.I spend my free time in galleries, museums and theaters.I am also interested in local cuisine and places related to art history."
"Jestem entuzjastą sportów ekstremalnych i uwielbiam adrenalinę.Sporty. Moim hobby to windsurfing, snowboard, wspinaczka i inne ekstremalne zajęcia.","Planuję swoją wycieczkę na marzec. Będzie trwała 6 dni, od 15 marca do 20 marca.",1,1,3,1,1,5,1,4,1,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,2,1,"I am an enthusiast of extreme sports and I love adrenaline.My hobby is windsurfing, snowboarding, climbing, and other extreme activities.I most often spend my free time in places where I can experience extreme adventures and enjoy the excellent conditions for practicing my favorite sports."
"Uważam, że podróżowanie dotyczy przede wszystkim na relaks i relaks, zamiast planować wszystko wcześniej.Cenię możliwość odkrywania nowych miejsc bez konieczności spieszenia się przez zaangażowane kłopotów.","Najbardziej lubię podróże poza sezonem, aby uniknąć tłumów turystycznych. Zależy mi na atmosferze miejsca, więc unikam okresów największego ruchu.",3,3,3,3,4,4,3,3,1,4,4,4,3,1,1,1,3,4,4,4,4,1,1,4,4,3,1,1,1,3,3,1,1,4,1,4,3,1,3,4,4,3,4,3,4,3,1,3,3,4,4,4,4,"Traveling for me is above all a chance to relax and relax.I do not plan every detail in advance, I prefer spontaneity and discovering new places without hurry."
"Jako miłośnik przyrody lubię spędzać czas na zewnątrz i odkrywać świat przyrody.Mam pasję do fotografii krajobrazowej, a także rowerów górskich i odwiedzających jeziora i parków narodowych.","Planuję długą wycieczkę na 8 dni, od 5 do 12 czerwca 2024 roku.",1,2,1,1,1,1,1,1,4,5,5,1,2,3,1,1,1,1,1,1,1,1,1,2,3,2,1,1,1,1,1,1,1,3,1,2,1,2,4,2,1,1,2,3,4,1,1,1,1,1,3,2,2,"I am a lover of nature and active leisure in the open air.My interests focus on hiking, cycling rides and discovering the charms of nature.The hobby is also landscape photography and the search for wild, unknown places.I most often spend my free time in national parks, on mountain trails and on the lakes."
"Jestem entuzjastą przyrody i aktywnego wypoczynku. Moje hobby to sporty ekstremalne i wszelkie formy rekreacji na świeżym powietrzu. Wolny czas najchętniej spędzam na wspinaczce górskiej, nurkowaniu i odkrywaniu nowych szlaków rowerowych.","Planuję intensywną wycieczkę trwającą około 7 dni, aby maksymalnie wykorzystać czas na aktywności outdoorowe.",2,1,3,1,2,5,2,4,1,4,5,1,2,3,1,2,1,1,1,1,1,1,1,2,3,4,3,2,3,2,2,1,1,3,2,1,2,1,3,2,1,1,2,1,2,1,1,3,4,2,4,2,3,"I am an enthusiast of nature and active recreation.My hobby is extreme sports and all forms of outdoor recreation.I most often spend my free time on mountain climbing, diving and discovering new bicycle routes."
"Lubię spędzać wolny czas w miejscach, które oferują szansę na poznanie przeszłości, odkrycie ukrytych tajemnic i docenianie tradycji kulturowych..Moje zainteresowanie polega na odkrywaniu bogatej historii mojego otoczenia, uczestniczeniu w wydarzeniach historycznych i eksploracji miejsc historycznych","Planuję swoją wycieczkę na lipiec. Będzie trwała 14 dni, od 10 lipca do 23 lipca.",1,2,1,1,1,1,2,1,3,4,3,2,4,3,2,3,4,4,5,3,3,2,3,5,5,4,4,5,5,5,4,4,4,4,3,2,1,2,3,5,3,2,5,4,5,2,1,1,1,2,3,5,4,"I am interested in history.My hobby is visiting places with a rich past, participation in historical events and exploration of monuments.I most often spend my free time in places that allow me to explore history, discover the secrets of the past and appreciate the cultural heritage."
".Moje zainteresowanie polega na odkrywaniu bogactwa i różnorodności mojego otoczenia jako gościa, który pasjonuje się odkrywaniem sztuki za pośrednictwem różnych mediów","Planuję swoją wycieczkę na czerwiec. Będzie trwała 14 dni, od 7 czerwca do 20 czerwca.",2,3,1,2,1,1,2,1,2,3,3,1,3,1,1,1,4,4,4,3,2,2,1,3,4,3,1,3,2,3,2,3,1,3,1,1,2,5,3,3,5,2,4,3,4,1,2,1,2,3,4,4,3,"I am a tourist with a passion for the history of art, and my hobby is a sculpture in wood.I like to discover artistic diversity and inspiring places that stimulate my artistic work."
".Moja pasja leży w zajęciach na świeżym powietrzu, w tym wspinaczce, pływaniu i odkrywaniu natury.Fascynuje mnie także historia i kultura tego obszaru, która mnie fascynuje.Lubię spędzać wolny czas na górskich szlakach lub kąpać się w naturalnych basenach termicznych.Ponadto cenię autentyczne potrawy regionalne, takie jak kebab, steki i inne lokalne potrawy",Moja wycieczka odbędzie się od 15 lipca do 30 lipca 2023 roku.,3,4,4,2,5,5,3,2,5,4,5,3,3,4,2,3,4,4,4,3,3,2,2,5,4,4,3,4,3,4,3,3,4,3,3,2,3,3,4,5,4,3,5,4,4,2,3,3,4,2,4,4,4,"I am an enthusiast of outdoor activity.My hobby is climbing, swimming and visiting places full of nature.I spend my free time on mountain trails or while bathing in natural thermal sources.I am also interested in local history and culture, so museums and historical facilities always fascinate me.In terms of food, I value authentic regional dishes."
.Często spędzam wolny czas na odkrywaniu miejsc z pięknym naturalnym otoczeniem.Moja miłość do natury i geografii jest zakorzeniona w mojej fascynacji eksplorowaniem obszarów miejskich i świadkiem ich zróżnicowanych krajobrazów,Moja wycieczka odbędzie się od 12 sierpnia do 27 sierpnia 2023 roku.,2,3,2,1,2,1,2,1,3,4,5,2,2,3,1,1,2,3,3,2,1,1,1,3,4,2,1,2,1,2,2,1,1,3,2,2,3,2,4,3,2,1,3,2,4,1,2,3,2,1,3,3,3,"I am a lover of nature and geography, with interest for the diversity of urban landscapes.My hobby is to observe the natural environment and explore places offering varied landscapes.I most often spend my free time in places with a rich natural environment."
.Jestem entuzjastą parków i atrakcji rozrywki. Lubię aktywny odpoczynek i miejsca oferujące rozrywkę i emocje,Planuję wycieczkę w okresie od 15 sierpnia do 30 sierpnia 2023 roku.,5,4,4,3,4,3,4,2,3,3,4,4,3,3,2,2,3,1,1,1,1,1,1,2,3,2,2,3,2,1,1,1,1,2,2,1,3,2,5,2,3,2,3,2,3,2,2,4,4,1,4,3,2,I am an enthusiast of amusement parks and attractions.I like active rest and places offering entertainment and emotions.
"Jako osoba, która pasjonuje się kulturą i historią, mam tendencję do odwiedzania muzeów, zabytków i uczestniczenia w działaniach kulturalnych.Ponadto intryguje mnie lokalna kuchnia i tradycje ludowe.","Planuję średnią wycieczkę trwającą około 10 dni, która rozpocznie się za trzy miesiące.",2,4,3,2,3,2,3,2,4,3,4,3,3,2,2,3,4,4,3,3,3,2,1,4,4,3,2,3,2,2,3,3,2,3,2,3,3,3,4,4,4,3,3,3,4,2,2,3,2,3,3,4,3,"I am an enthusiast of culture and history.I most often spend my free time visiting museums, monuments and participation in local cultural events.I am also interested in local cuisine and folk traditions."
"Jestem osobą pokoju i spokoju, która podróżuje, aby odkryć cuda przyrody, kultury i historii..Wolę miejsca docelowe, które pozwalają mi cieszyć się spokojem życia i docenić naturalne piękno wokół mnie","Preferuję dłuższe wyjazdy, trwające od 10 do 14 dni. Lubię poświęcić więcej czasu na poznanie kultury i historii miejsca, w którym się znajduję. Wolę spokojne tempo podróży.",2,3,2,3,4,2,3,2,4,4,5,3,3,4,3,3,4,4,5,4,3,3,3,5,5,4,2,4,3,4,3,4,3,4,3,3,4,4,5,5,5,4,5,4,5,3,4,3,3,3,4,5,4,"I am a traveler who values peace and harmony.I travel to discover the beauty of nature, culture and history.I prefer places where I can relax, enjoying the atmosphere and beauty of the surroundings."
"Jestem pasjonatem kultury i lokalnych tradycji. Wolny czas najchętniej spędzam na poznawaniu miejscowej sztuki, folkloru i kuchni. Interesuje mnie także życie nocne i atmosfera miejskich miejsc.","Planuję krótką wycieczkę weekendową, która rozpocznie się za miesiąc.",3,4,2,3,3,2,2,1,3,3,4,2,3,2,2,2,4,5,4,3,3,1,1,4,4,3,2,3,2,3,2,3,2,3,1,2,3,3,4,4,4,3,5,4,5,2,2,2,1,1,4,5,3,"I am passionate about culture and local traditions.I spend my free time to learn about local art, folklore and kitchen.I am also interested in nightlife and the atmosphere of urban places."
"Podróże dla mnie to nie tylko okazja do zwiedzania nowych miejsc, ale również do poznawania lokalnej kuchni i kultury. Lubię wędrować ulicami miast, próbować regionalnych potraw i angażować się w życie lokalnej społeczności. Planuję podróże, ale zawsze zostawiam miejsce na spontaniczność i niezaplanowane odkrycia.","Nie mam stałych reguł co do terminów podróży. Czasem lubię wyjazdy poza sezonem, by uniknąć tłumów, innym razem chętnie uczestniczę w lokalnych festiwalach i wydarzeniach, aby doświadczyć autentycznej atmosfery danego miejsca.",4,3,3,3,4,3,4,3,4,4,5,4,4,3,3,4,4,5,5,4,4,3,3,4,4,4,3,4,3,4,4,3,3,4,3,4,4,4,4,4,4,4,5,4,5,3,3,4,4,4,5,5,4,"Traveling for me is not only an opportunity to explore new places, but also to explore local cuisine and culture.I like to wander through the streets of cities, try regional dishes and get involved in the life of the local community.I plan travel, but I always leave space for spontaneity and unplanned discoveries."
"Jestem entuzjastą sportu i aktywnego stylu życia.. Moje hobby to głównie wszystkie formy aktywności fizycznej, takie jak jazda na rowerze, bieganie i sport.różne atrakcje sportowe","Planuję intensywną wycieczkę na 4 dni, od 20 do 23 lipca 2024 roku.",3,2,4,1,4,3,5,5,2,3,2,1,3,2,1,2,1,2,1,1,1,1,1,2,1,2,1,2,3,3,2,1,1,3,1,2,1,1,3,1,1,1,2,1,1,1,1,2,1,2,4,2,3,"I am an enthusiast of sport and an active lifestyle.My hobby is mainly all forms of physical activity, such as cycling, running and winter sports.I spend my free time at stadiums, supporting my favorite team, and in parks where I can use various sports attractions."
"Jestem zafascynowany kulturą ludów pierwotnych i miejscami ich osadnictwa. Moje hobby to eksploracja miejsc o bogatej historii etnicznej, uczestnictwo w wydarzeniach kulturowych i nauka o tradycjach pierwotnych społeczności. Najchętniej spędzam wolny czas w miejscach, gdzie mogę lepiej zrozumieć dziedzictwo i kulturę ludów pierwotnych.","Planuję swoją wycieczkę na wrzesień. Będzie trwała 12 dni, od 10 września do 21 września.",1,1,1,1,1,1,1,1,3,4,5,2,3,2,1,2,1,1,1,1,1,2,1,5,3,2,3,3,2,3,2,3,2,4,4,1,1,2,4,5,2,1,4,3,4,1,1,1,1,1,2,4,3,"I am fascinated by the culture of primitive peoples and places in their settlement.My hobby is the exploration of places with a rich ethnic history, participation in cultural events and the science of primary community traditions.I most often spend my free time in places where I can better understand the heritage and culture of primitive peoples."
".Będąc gościem w kraju, jestem zainteresowany odkrywaniem atrakcji kulturalnych, takich jak muzea, teatry i galerie, które oferują wgląd w lokalną historię i dziedzictwo artystyczne regionu","Preferuję podróże o różnych porach roku, by móc uczestniczyć w różnych wydarzeniach kulturalnych.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,2,2,2,2,2,2,2,1,2,1,1,2,2,1,2,1,1,1,2,1,2,4,3,3,2,3,2,1,1,1,1,2,2,2,"I am a tourist who wants to see places related to art and culture.I am interested in museums, theaters, art galleries and other cultural facilities that allow you to better understand local history and artistic tradition."
"Jako programista mam silną pasję do wędrówek górskich i zwiedzania na świeżym powietrzu.Moją preferowaną rozrywką jest kodowanie, ponieważ lubię odkrywać nowe szlaki i tworzyć kod, gdy jest zanurzona w naturze.",Moja wycieczka odbędzie się od 1 lipca do 15 lipca 2023 roku.,1,1,1,1,1,2,1,2,3,4,5,1,1,2,1,1,1,2,1,1,1,1,1,2,3,3,1,1,1,2,1,1,1,2,1,1,1,1,2,3,1,1,4,3,4,1,1,1,1,1,3,4,2,"I am a programmer with a passion for mountain hiking, valuing peace away from the hustle and bustle.My hobby is coding and exploration of wild areas.I most often spend my free time among nature, discovering new trails and at the same time creating new code lines."
".Ponadto moje wybory żywności obejmują lokalne składniki, które są zarówno pożywne, jak i lokalne.Jestem osobą, która lubi odkrywać na świeżym powietrzu, spędzać czas w naturze i angażować się w zajęcia rekreacyjne, takie jak kolarstwo górskie, wędrówki i nurkowanie.Interesuje mnie również ochrona środowiska i promuję świadomość cudów naturalnych, takich jak parki narodowe",Moja wycieczka odbędzie się od 7 lipca do 22 lipca 2023 roku.,1,3,2,1,1,4,2,1,5,4,5,2,3,2,1,2,2,2,1,1,1,1,1,3,3,3,2,2,1,2,2,1,1,3,1,1,2,3,4,2,1,1,3,4,3,1,1,2,2,1,3,2,3,"I am a lover of nature and active recreation.My hobby are hiking in the mountains, bicycle trips and diving.I spend my free time outdoors, discovering the natural beauty of places, especially national parks.I am interested in ecology and environmental protection.In terms of food, I prefer healthy, local products."
Jestem entuzjastą sztuki współczesnej. W wolnym czasie eksploruję galerie sztuki i uczestniczę w wydarzeniach kulturalnych. Wolę miejsca związane z nowoczesnymi dziełami artystycznymi i interesującą architekturą.,"W lipcu, 7 dni.",1,3,1,2,2,1,2,1,2,2,2,1,3,2,1,1,3,2,2,1,1,1,1,1,2,1,1,2,1,2,2,1,1,2,1,4,1,4,3,1,5,3,2,3,4,5,2,1,1,4,4,2,3,I am an enthusiast of modern art.In my free time I explore art galleries and participate in cultural events.I prefer places related to modern artistic works and interesting architecture.
"Jestem osobą pełną energii, uwielbiam aktywność fizyczną i otaczanie się przyrodą. Najbardziej relaksuje mnie spędzanie czasu na świeżym powietrzu, zwłaszcza w parkach, na plażach i przy wodospadach. Interesuję się sportami wodnymi i wszelkimi formami rekreacji na świeżym powietrzu. Ponadto, uwielbiam próbować nowych smaków, zwłaszcza lokalnych potraw kulinarnych.","Planuję wydłużony pobyt trwający około 10 dni, aby móc maksymalnie korzystać z różnorodności przyrody, aktywności sportowych oraz lokalnej kuchni danego miejsca.",3,2,4,2,4,3,2,1,3,5,5,5,3,2,2,3,2,3,2,1,2,3,2,4,3,2,1,2,3,3,3,2,1,4,1,3,2,3,4,3,2,2,3,3,3,2,1,4,4,3,4,3,4,"I am a person full of energy, I love physical activity and surrounding myself.Spending time outdoors, especially in parks, beaches and at waterfalls, relaxes the most.I am interested in water sports and all forms of outdoor recreation.In addition, I love to try new flavors, especially local culinary dishes."
"Lubię projektować naturalne środowiska i włączać je do mojej pracy.Moje doświadczenie jako architekta krajobrazu obejmuje fotografowanie morza, aby docenić jego piękno.",Moja wycieczka odbędzie się od 12 sierpnia do 27 sierpnia 2023 roku.,1,2,2,1,1,1,1,1,2,3,4,5,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,4,2,1,1,2,2,2,1,1,1,1,1,3,2,1,"I am a landscape architect with a passion for nature photography, valuing peaceful places by the sea.My hobby is designing natural spaces and consolidating their beauty in the pictures.I most often spend my free time on the seafront, drawing inspiration from the surrounding nature."
"Moja miłość do kultury i historii jest widoczna podczas moich wizyt w muzeach, galeriach sztuki i odkrywaniu miejsc o bogatym tle historycznym..Lubię też odkrywać zabytki i miejsca, które ukrywają intrygujące opowieści.Ponadto fascynuje mnie architektura i tradycyjna kuchnia","Planuję krótką wycieczkę trwającą mniej niż tydzień, na przełomie wiosny i lata, aby cieszyć się piękną pogodą i uczestniczyć w lokalnych festiwalach kulturalnych.",2,3,1,2,1,1,2,1,3,4,4,2,3,2,2,2,4,4,5,3,4,2,2,4,5,4,3,4,3,3,3,3,2,4,2,3,3,4,4,5,5,3,5,4,5,2,2,2,3,3,4,5,4,"I am a lover of culture and history.My hobby is visiting museums, art gallery and exploration of places with rich history.I most often spend my free time discovering monuments and places that hide fascinating stories.I am also interested in architecture and local cuisine."
". Spędzam wolny czas na odwiedzaniu zabytków, muzeów i miejsc z bogatą historią. Jestem również zainteresowany lokalnymi tradycjami i kuchnią.Jestem miłośnikiem historii i architektury","Planuję średnią wycieczkę trwającą około 8 dni, która rozpocznie się za dwa miesiące.",2,3,1,2,2,1,2,1,3,3,4,1,4,2,2,2,4,5,4,3,3,1,1,4,4,3,2,3,2,3,2,3,2,3,1,2,3,3,4,4,4,3,5,4,5,2,2,2,1,1,4,5,3,"I am a lover of history and architecture.I spend my free time visiting monuments, museums and places with rich history.I am also interested in local traditions and cuisine."
"Jako turysta jestem zainteresowany badaniem miejsc naukowych i technologii, które oferują wgląd w świat współczesnych technologii i innowacji.","Preferuję podróże w dowolnym okresie, aby zwiedzić miejsca związane z nauką i techniką.",2,3,2,2,2,2,2,2,2,2,3,2,3,3,2,3,5,2,2,2,2,2,2,3,3,2,3,4,3,2,2,2,2,3,2,2,2,2,3,4,2,3,3,3,4,2,4,2,2,2,3,3,3,"I am a tourist who wants to see places related to science and technology.I am interested in attractions that offer insight into the world of science, modern technologies and innovations."
"Fascynuje mnie kultura i historia miast, szczególnie ich architektura;Lubię również uczestniczyć w wydarzeniach kulturalnych..Występy teatralne i zewnętrzne to moja pasja",Moja wycieczka odbędzie się od 5 sierpnia do 20 sierpnia 2023 roku.,2,3,1,2,2,1,2,1,2,3,3,1,3,2,1,1,3,4,4,3,4,1,1,3,4,3,1,3,1,2,2,3,2,4,1,3,3,3,4,4,5,3,4,3,4,2,2,2,2,3,4,4,3,"I am passionate about theater and outdoor performances.I am interested in culture and history of cities, especially their architecture.I also like to participate in cultural events."
".Moja miłość do natury i sportów ekstremalnych jest obszerna i zwykle cieszę się, jak wspinanie się na ściany, jeździą na rowerze po domu i zwiedzanie starożytnych miast","Planuję krótką wycieczkę trwającą około 5 dni, która rozpocznie się za dwa miesiące.",1,2,4,1,2,5,2,3,3,4,5,2,2,3,1,2,2,3,2,2,2,1,1,3,3,3,1,2,3,2,2,3,1,3,1,2,2,2,3,3,2,1,3,3,3,1,1,2,1,2,3,3,2,"I am an enthusiast of nature and extreme sports.I most often spend my free time on activities such as climbing, canoeing or cycling.I am also interested in places with rich history and architecture."
Moje przywiązanie do cmentarzy i podstaw pochówku wynika z mojej fascynacji historii i budowy tych struktur.,Planuję wycieczkę w okresie od 10 września do 20 września 2023 roku.,2,3,2,2,2,1,2,1,1,1,2,1,3,2,1,1,2,3,3,4,3,1,2,2,2,2,1,1,1,4,5,5,3,3,2,1,1,2,2,2,2,2,3,3,3,1,1,1,1,1,3,3,2,I am a lover of cemeteries and mausolery places.I am interested in the history and architecture of graves and mausols.
".Bycie energiczną osobą z pasją do przygody i eksploracji sprawia, że cieszę się różnymi formami aktywnego czasu wolnego.Cenię atrakcje, które zapewniają emocje i zachęcają do aktywności fizycznej","Preferuję podróże w okresie letnim, kiedy pogoda sprzyja outdoorowym aktywnościom. Cenię sobie intensywne wrażenia, dlatego unikam sezonów o niższej temperaturze.",4,3,4,2,4,5,4,2,2,3,4,5,3,3,2,4,3,2,2,3,3,2,2,3,4,3,3,4,4,3,3,2,2,4,3,4,4,3,3,3,4,2,4,3,4,3,3,5,4,4,4,3,4,"I am a person with high energy and interests.I like active forms of spending time, visiting new places and experiencing adventures.For me, attractions that provide adrenaline are important and allow physical activity."
".Ponadto lubię strzelać do sportów i studiować taktyki wojskowe, a także spędzać czas w muzeach wojskowych, polach bitew lub prowadzenie badań nad przeszłością kraju.Mam silną pasję do studiowania historii wojskowej, szczególnie w zakresie badań miejsc związanych z wojskiem, zbierania artefaktów wojskowych i uczestnictwa w rekonstrukcjach historycznych","Planuję średnią długość wycieczki na 5 dni, od 3 do 7 września 2024 roku.",1,2,1,1,1,1,3,1,2,1,2,1,2,1,1,1,1,2,1,1,1,1,1,2,3,3,4,5,5,4,2,1,1,3,1,1,1,1,2,2,1,1,5,3,4,1,1,1,1,1,2,4,2,"I am passionate about the history of military.My interests focus mainly on studying places related to military, collecting military and participation in historical reconstructions.The hobby is also sports shooting and studying military tactics.I most often spend my free time in military museums, in battlefields and during the search for the military history of the region."
"Inne hobby obejmują granie w gry, uczestnictwo w wydarzeniach gier i studiowanie literatury naukowej.Lubię spędzać wolny czas na graniu w gry jako hobby lub odkrywanie światów online, zwłaszcza w gry wideo, jednocześnie badając psychologiczne aspekty cech osobowości mojej postaci..Moja pasja do gier komputerowych jest zakorzeniona w psychologii, koncentrując się na odkrywaniu nowych tytułów gier, badaniu aspektów psychologicznych w grach i czytaniu książek psychologii","Planuję weekendową wycieczkę na 2 dni, od 10 do 11 listopada 2024 roku.",4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,3,1,1,3,1,1,1,1,1,"I am an enthusiast of computer games with interests in the field of psychology.My interests focus on new game titles, exploring psychological aspects in games and reading psychology books.The hobby is a game in various games, participation in gaming events and reading scientific publications in the field of psychology.I spend my free time playing games, exploring virtual worlds and analyzing the psychological aspects of the character in games."
"Jestem wyraźnie zainteresowany sztuką współczesną i muzyką elektroniczną, a także pasjonuję się odkrywaniem nowych pomysłów i odkrywaniem kreatywności.",Preferuję letnie miesiące ze względu na ciepło i długie dni. To idealny czas na festiwale muzyczne i plenerowe wydarzenia artystyczne.,3,2,3,2,3,2,3,1,2,3,4,4,2,2,1,2,3,3,3,2,2,2,2,3,3,2,2,3,2,2,3,3,2,3,2,3,3,3,3,3,5,3,3,3,3,2,2,3,3,2,3,3,3,I am a person with clear interests.Contemporary art and electronic music are my passion.I value originality and creativity.
".Moja pasja polega na odkrywaniu świata literatury fantasy poprzez eksperymenty i gotowanie w celu tworzenia nowych potraw, a także zanurzenie się w magicznych kulinarnych królestwach.Jako namiętny czytelnik fantasy mam powinowactwo do gotowania i sztuki kulinarnej","Planuję weekendowy wyjazd kulinarny na 3 dni, od 5 do 7 lipca 2024 roku.",2,3,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,2,2,1,2,1,2,2,2,1,1,1,1,1,3,2,2,"I am a great lover of cooking with a passion for fantasy literature.I love experimenting in the kitchen, create new recipes, while fascinating the world of imagination presented in fantasy literature.The hobby is the preparation of culinary masterpieces, exploring the flavors of different cuisines and immersing in magical literary worlds.I spend my free time in the kitchen, creating tasty dishes inspired by fantastic worlds, and in the evenings I go to underground literary lands."
" Moje hobby hoduje i obserwuje różne gatunki ryb i roślin akwarium.Jestem pasjonatem akwarium, fascynuje mnie życie podwodne.",Moja wycieczka odbędzie się od 15 września do 30 września 2023 roku.,2,3,4,1,2,1,1,1,2,3,3,2,2,2,1,1,3,2,2,2,1,1,1,2,2,1,1,2,1,1,1,1,1,2,1,1,2,2,3,2,1,1,2,2,2,1,1,5,5,1,3,2,2,"I am passionate about aquarium, I am fascinated by underwater life.My hobby is breeding and observing various species of fish and aquarium plants.I most often spend my free time in places offering fascinating aquariums and the wealth of the underwater world."
" Rozumiem muzea, galerię sztuki, teatry i miejsca kulturalne.Jestem turystą o pasji do kultury i sztuki.. Jestem również zainteresowany uroczymi kawiarniami i miejscami, w których mogę doświadczyć lokalnej kuchni",Planuję podróż w okresie od 10 lipca do 25 lipca 2023 roku.,2,3,2,2,2,1,2,1,2,2,2,2,3,2,1,1,4,4,4,3,3,3,3,3,4,3,2,3,2,2,3,3,2,3,2,4,3,4,3,4,5,3,4,3,4,3,2,2,2,2,3,4,3,"I am a tourist about a passion for culture and art.I value visiting museums, art gallery, theaters and cultural places.I am also interested in charming cafes and places where I can experience local cuisine."
".Moja pasja polega na angażowaniu się w sporty ekstremalne, które obejmują zajęcia na świeżym powietrzu i odkrywanie dziedzictwa kulturowego i miejsc historycznych","sierpień 2023, 10 dni.",3,2,2,1,3,5,4,5,2,4,3,4,2,3,1,2,2,1,1,1,1,1,1,2,3,2,3,2,4,3,2,2,1,2,1,1,2,1,2,2,1,1,2,1,2,1,1,2,1,2,3,1,2,"I am passionate about extreme sports.I like outdoor activity and searching for places to practice my favorite sports.I am also interested in places related to cultural heritage and historical monuments, which I visit in breaks between sports activities."
